time,open,high,low,close,tick_volume,spread,real_volume
2020-03-08,104.264,104.518,103.66,103.932,9479,11,0
2020-03-09,103.932,104.258,101.18,103.078,130124,11,0
2020-03-10,103.078,105.913,102.702,105.041,115148,11,0
2020-03-11,105.04,105.324,104.094,104.533,88423,11,0
2020-03-12,104.531,106.096,103.079,104.665,126483,11,0
2020-03-13,104.664,108.497,104.655,107.747,102816,11,0
2020-03-15,107.154,107.156,105.732,106.495,15556,11,0
2020-03-16,106.496,107.564,105.146,106.211,116366,11,0
2020-03-17,106.213,107.855,106.072,107.38,117742,11,0
2020-03-18,107.382,108.649,106.752,108.362,101402,11,0
2020-03-19,108.36,111.359,108.195,111.309,129671,11,0
2020-03-20,111.307,111.498,109.331,110.809,91256,11,0
2020-03-22,110.744,111.222,110.287,110.385,8683,11,0
2020-03-23,110.387,111.588,109.666,110.809,94032,11,0
2020-03-24,110.81,111.708,110.081,111.124,72641,11,0
2020-03-25,111.122,111.671,110.75,110.831,68816,11,0
2020-03-26,110.831,110.946,109.087,109.127,82574,11,0
2020-03-27,109.129,109.385,107.755,107.924,64819,11,0
2020-03-29,107.651,107.952,107.362,107.45,6125,11,0
2020-03-30,107.453,108.289,107.121,108.068,61838,11,0
2020-03-31,108.07,108.721,107.4,107.506,74330,11,0
2020-04-01,107.506,107.935,106.919,107.29,60566,11,0
2020-04-02,107.289,108.195,107.013,108.027,54444,11,0
2020-04-03,108.026,108.669,107.799,108.456,44359,11,0
2020-04-05,108.34,108.736,108.318,108.712,4161,11,0
2020-04-06,108.712,109.375,108.668,109.125,49947,11,0
2020-04-07,109.125,109.141,108.612,108.67,50737,5,0
2020-04-08,108.669,109.095,108.503,108.932,45926,10,0
2020-04-09,108.931,109.058,108.204,108.53,44732,10,0
2020-04-10,108.534,108.555,108.288,108.41,27918,42,0
2020-04-12,108.386,108.498,108.222,108.339,3280,10,0
2020-04-13,108.339,108.375,107.497,107.624,33085,10,0
2020-04-14,107.622,107.754,106.976,107.109,34417,10,0
2020-04-15,107.108,107.862,106.924,107.614,42334,10,0
2020-04-16,107.614,108.08,107.161,107.929,63913,10,0
2020-04-17,107.929,107.948,107.297,107.487,55832,10,0
2020-04-19,107.497,107.7,107.437,107.693,2364,11,0
2020-04-20,107.692,107.943,107.549,107.67,33741,10,0
2020-04-21,107.671,107.887,107.277,107.714,46219,10,0
2020-04-22,107.715,107.931,107.51,107.825,37789,11,0
2020-04-23,107.824,108.037,107.342,107.652,51167,11,0
2020-04-24,107.653,107.754,107.339,107.446,31790,11,0
2020-04-26,107.558,107.584,107.402,107.504,2055,11,0
2020-04-27,107.504,107.617,106.989,107.291,36555,11,0
2020-04-28,107.292,107.334,106.556,106.753,38369,11,0
2020-04-29,106.753,106.768,106.354,106.607,37210,11,0
2020-04-30,106.607,107.494,106.402,107.278,57003,11,0
2020-05-01,107.277,107.401,106.601,106.821,37963,11,0
2020-05-03,106.805,106.917,106.707,106.727,2724,11,0
2020-05-04,106.727,107.064,106.587,106.693,30040,11,0
2020-05-05,106.693,106.889,106.404,106.445,32147,11,0
2020-05-06,106.445,106.445,105.955,106.21,34017,11,0
